PLAZO,CAPITAL,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,latitud,longitud,meses_transcurridos,Cuotas en mora,mes_de_pago,TIPO EMPLEO_independiente,TIPO DE VIVIENDA_propia,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico
30.0,0.15,2781.0,1.4838615944218123,0.6,3.43722,-76.5225,36.0,1,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2778.0,1.5121681963939526,0.6,10.96854,-74.78132,0.0,1,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.12,2766.0,1.8414034310720488,0.6,10.46314,-73.25322,24.0,1,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
28.0,0.1,2719.0,1.6746953263286617,0.6,4.60971,-74.08175,18.0,1,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29.0,0.4,2711.0,1.9741324775931213,0.6,4.83916,-75.66727,31.192509855453352,1,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
22.0,0.1,2696.0,1.6199552951651093,0.6,4.60971,-74.08175,12.0,1,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.23,2695.0,1.7116159792209462,0.6,5.06889,-75.51738,24.0,1,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.33,2694.0,1.831350680419652,0.6,6.25184,-75.56359,15.0,1,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2680.0,1.306580481558763,0.6,3.43722,-76.5225,6.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.17,2680.0,1.5941521893721156,0.6,6.15515,-75.37371,12.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
18.0,0.15,2677.0,1.7231321774932589,0.6,4.81333,-75.69611,96.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.15,2666.0,1.6008625189604953,0.6,6.25184,-75.56359,31.192509855453352,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27.0,0.1,2665.0,1.7722192217208423,0.6,4.60971,-74.08175,48.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.13,2661.0,1.7808873778289538,0.6,4.60971,-74.08175,31.192509855453352,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.17,2659.0,1.9653900386929344,0.6,10.46314,-73.25322,36.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15.0,0.16,2659.0,1.3094070630601404,0.6,3.43722,-76.5225,9.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14.0,0.15,2653.0,1.4149599928638406,0.6,5.96278,-75.73806,15.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.15,2653.0,1.7379447046757903,0.6,4.60971,-74.08175,9.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2648.0,1.8446939261908304,0.6,4.60971,-74.08175,17.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2645.0,2.0424269386006597,0.6,7.12539,-73.1198,84.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.18,2644.0,1.6656288342377683,0.6,6.25184,-75.56359,36.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.4,2643.0,1.845890349315068,0.6,3.43722,-76.5225,24.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29.0,0.17,2639.0,1.6265818605941398,0.6,6.25184,-75.56359,31.192509855453352,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23.0,0.15,2639.0,1.6845791720051704,0.6,4.60971,-74.08175,7.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.38,2637.0,2.100921714562201,0.6,4.60971,-74.08175,8.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2631.0,1.690565241854344,0.6,3.43722,-76.5225,72.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2625.0,1.7508890494668332,0.6,1.87884,-76.26722,31.192509855453352,1,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.25,2623.0,1.6657106568259137,0.6,6.17591,-75.59174,4.0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2619.0,1.809916971146679,0.6,4.57937,-74.21682,12.0,1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.15,2617.0,2.0266687542419906,0.6,4.60971,-74.08175,94.0,1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27.0,0.15,2617.0,1.7292078466434688,0.6,4.60971,-74.08175,12.0,0,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2612.0,1.3090551649049722,0.6,3.43722,-76.5225,6.0,1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2609.0,1.6874956078346752,0.6,10.96854,-74.78132,3.0,1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2606.0,1.4006999664009232,0.6,3.53944,-76.30361,24.0,1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.15,2606.0,1.5787257398611416,0.6,6.25184,-75.56359,24.0,1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26.0,0.15,2606.0,1.6969817446816418,0.6,4.73245,-74.26419,12.0,1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2602.0,1.553636611706679,0.6,3.43722,-76.5225,31.192509855453352,1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2599.0,1.466607241290566,0.6,5.74601,-75.97765,31.192509855453352,1,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2589.0,1.5,0.5,4.60971,-74.08175,31.192509855453352,0,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2579.0,1.840722518569992,0.6,10.46314,-73.25322,31.192509855453352,0,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.33,2574.0,2.17359859912772,0.6,10.75773,-74.75451,84.0,1,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2572.0,2.036704722069974,0.6,4.60971,-74.08175,120.0,0,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.18,2570.0,2.099227083764127,0.6,5.33775,-72.39586,31.192509855453352,1,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.35,2567.0,2.2805438995861227,0.6,7.12539,-73.1198,36.0,1,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.35,2564.0,1.9175388571102123,0.6,10.96854,-74.78132,0.0,1,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2562.0,1.8594527008090207,0.6,6.25184,-75.56359,36.0,1,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.32,2560.0,1.731366664394118,0.6,7.66638,-76.68106,36.0,1,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
22.0,0.15,2551.0,1.674288687742905,0.6,4.60971,-74.08175,5.0,1,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2539.0,1.9047559932286031,0.6,6.33732,-75.55795,96.0,1,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
