PLAZO,CAPITAL,INT CORRIENTE,PRÓXIMA FECHA PAGO,DÍAS MORA,Cuotas en mora,TIPO EMPLEO,TIPO DE VIVIENDA,ESTRATO,AÑOS EN LA VIVIENDA,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,PERSONAS A CARGO,NUMERO DE HIJOS,TIPO DE VEHICULO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE,latitud,longitud,meses_transcurridos
29,100000,1814.433333,2015-09-03,2801,1,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,mensual,nan,nan,2.0,2.0,ninguno,1,0,3.8801,-77.03116,108.0
30,100000,1877.0,2015-09-04,2800,1,empleado,nan,2.0,menos de un ano,,,,indefinido,mensual,nan,nan,3.0,3.0,moto,1,0,6.25184,-75.56359,12.0
30,100000,1877.0,2015-09-05,2799,1,independiente,nan,3.0,mas de 5 anos,,,,nan,nan,nan,nan,1.0,1.0,ninguno,1,0,4.57937,-74.21682,
27,100000,1689.3,2015-09-08,2796,1,empleado,nan,2.0,mas de 5 anos,,,,termino fijo,mensual,nan,nan,1.0,2.0,ninguno,1,0,5.06889,-75.51738,12.0
30,150000,2815.5,2015-09-10,2794,1,independiente,nan,4.0,menos de un ano,,,,nan,nan,nan,nan,1.0,1.0,ninguno,1,0,4.60971,-74.08175,
30,150000,2815.5,2015-09-10,2794,1,empleado,nan,3.0,menos de un ano,,,,indefinido,mensual,nan,nan,1.0,1.0,ninguno,1,0,4.60971,-74.08175,12.0
30,100000,1877.0,2015-09-12,2792,1,empleado,nan,2.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,0.0,0.0,moto,1,0,6.25184,-75.56359,24.0
30,250000,4692.5,2015-09-15,2789,1,independiente,nan,3.0,entre uno y cinco anos,,,,nan,nan,nan,nan,0.0,0.0,moto,1,0,3.43722,-76.5225,
29,200000,3628.866667,2015-09-18,2786,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,0.0,2.0,carro,1,0,4.60971,-74.08175,12.0
30,150000,2815.5,2015-09-23,2781,1,empleado,nan,6.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,0.0,0.0,ninguno,1,0,3.43722,-76.5225,36.0
30,100000,1877.0,2015-09-26,2778,1,empleado,nan,3.0,mas de 5 anos,,,,termino fijo,quincenal,nan,nan,2.0,2.0,ninguno,1,0,10.96854,-74.78132,0.0
