PLAZO,CAPITAL,INT CORRIENTE,FECHA DESEMBOLSO,PRÓXIMA FECHA PAGO,DÍAS MORA,Cuotas en mora,TIPO EMPLEO,CIUDAD RESIDENCIA,TRABAJO,TIPO DE VIVIENDA,ESTRATO,AÑOS EN LA VIVIENDA,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,PERSONAS A CARGO,NUMERO DE HIJOS,TIPO DE VEHICULO,TIEMPO TRABAJO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE
30,150000,2815.5,7/30/2015,8/29/2015,2806,1,Empleado,medellin,Analista,,2.0,mas de 5 años,,,,Indefinido,Mensual,,,1.0,0.0,Ninguno,22 MESES,1,0
27,100000,1689.3,8/6/2015,9/2/2015,2802,1,Empleado,BOGOTA,ASESORA COMERCIAL,,2.0,entre uno y cinco años,,,,Indefinido,Mensual,,,2.0,2.0,Ninguno,7 MESES,1,0
29,100000,1814.433333,8/5/2015,9/3/2015,2801,1,Empleado,BUENAVENTURA,GESTOR DE VIDA SANA,,3.0,entre uno y cinco años,,,,Indefinido,Mensual,,,2.0,2.0,Ninguno,9 AÑOS,1,0
30,100000,1877.0,8/5/2015,9/4/2015,2800,1,Empleado,Medellin,Impulso y mercadeo,,2.0,menos de un año,,,,Indefinido,Mensual,,,3.0,3.0,Moto,1 año,1,0
30,100000,1877.0,8/6/2015,9/5/2015,2799,1,Independiente,Soacha,Técnico de redes y sistemas,,3.0,mas de 5 años,,,,,,,,1.0,1.0,Ninguno,,1,0
27,100000,1689.3,8/12/2015,9/8/2015,2796,1,Empleado,Manizales,auxiliar de Enfermería,,2.0,mas de 5 años,,,,Termino fijo,Mensual,,,1.0,2.0,Ninguno,1 año,1,0
30,150000,2815.5,8/11/2015,9/10/2015,2794,1,Independiente,bogota,comercial,,4.0,menos de un año,,,,,,,,1.0,1.0,Ninguno,,1,0
30,150000,2815.5,8/11/2015,9/10/2015,2794,1,Empleado,Bogotá,Asesora,,3.0,menos de un año,,,,Indefinido,Mensual,,,1.0,1.0,Ninguno,1,1,0
30,100000,1877.0,8/13/2015,9/12/2015,2792,1,Empleado,medellin,vendedor,,2.0,mas de 5 años,,,,Indefinido,Mensual,,,0.0,0.0,Moto,2 años,1,0
30,250000,4692.5,8/16/2015,9/15/2015,2789,1,Independiente,cali,comerciante,,3.0,entre uno y cinco años,,,,,,,,0.0,0.0,Moto,,1,0
29,200000,3628.866667,8/20/2015,9/18/2015,2786,1,Empleado,bogota,asistente administrativa,,3.0,mas de 5 años,,,,Indefinido,Quincenal,,,0.0,2.0,Carro,1 año,1,0
30,150000,2815.5,8/24/2015,9/23/2015,2781,1,Empleado,cali,mesero,,6.0,mas de 5 años,,,,Indefinido,Quincenal,,,0.0,0.0,Ninguno,3 años,1,0
30,100000,1877.0,8/27/2015,9/26/2015,2778,1,Empleado,Barranquilla,Portero,,3.0,mas de 5 años,,,,Termino fijo,Quincenal,,,2.0,2.0,Ninguno,30 dias,1,0
30,120000,2252.4,9/8/2015,10/8/2015,2766,1,Empleado,VALLEDUPAR,AUXILIAR ADMINISTRATIVO,,2.0,menos de un año,,,,Indefinido,Quincenal,,,1.0,2.0,Ninguno,2 AÑOS,1,0
28,100000,1751.866667,10/27/2015,11/24/2015,2719,1,Empleado,bogota,jefe de bodega y logisitca,,2.0,mas de 5 años,,,,Termino fijo,Mensual,,,2.0,2.0,Ninguno,18 meses,1,0
