objectId,muni,featureCode,countryCode,cityId,ACL,name,population,updatedAt,location,country,createdAt,adminCode
pR4DYQskeD,,PPL,CO,3667355,,tauramena,4805,Thu Dec 12 2019 14:16:10 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.01831,""longitude"":-72.74919}",Colombia,Thu Dec 12 2019 14:16:10 GMT-0500 (Colombia Standard Time),32
pT90iCLzas,,PPL,CO,3689559,,armenia,2035,Thu Dec 12 2019 14:17:20 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.15639,""longitude"":-75.78722}",Colombia,Thu Dec 12 2019 14:17:20 GMT-0500 (Colombia Standard Time),2
pTM9HZvMzM,,PPL,CO,3668025,,silvia,7474,Thu Dec 12 2019 14:16:11 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":2.61557,""longitude"":-76.38261}",Colombia,Thu Dec 12 2019 14:16:11 GMT-0500 (Colombia Standard Time),9
pXMIOlCwAI,,PPL,CO,3670506,,sabanalarga,2517,Thu Dec 12 2019 14:16:13 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.84893,""longitude"":-75.81711}",Colombia,Thu Dec 12 2019 14:16:13 GMT-0500 (Colombia Standard Time),2
pYKRSanrY5,,PPL,CO,3687321,,carmen de carupa,1928,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.34862,""longitude"":-73.90168}",Colombia,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),33
pjMOTmB3Nj,,PPL,CO,3667473,,tamesis,6406,Thu Dec 12 2019 14:16:10 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.66462,""longitude"":-75.71339}",Colombia,Thu Dec 12 2019 14:16:10 GMT-0500 (Colombia Standard Time),2
plA9DuvWTA,,PPL,CO,3792404,,san antonio del tequendama,1577,Thu Dec 12 2019 14:17:22 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.61889,""longitude"":-74.35389}",Colombia,Thu Dec 12 2019 14:17:22 GMT-0500 (Colombia Standard Time),33
pmFM39XNu0,,PPL,CO,3667007,,toca,3946,Thu Dec 12 2019 14:16:10 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.56393,""longitude"":-73.18398}",Colombia,Thu Dec 12 2019 14:16:10 GMT-0500 (Colombia Standard Time),36
pmHuykHNDq,,PPL,CO,3666522,,ubaque,1009,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.48667,""longitude"":-73.93748}",Colombia,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),33
pmYhdHbvuF,,PPL,CO,3669895,,san fernando,1615,Thu Dec 12 2019 14:16:13 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":9.27972,""longitude"":-74.53389}",Colombia,Thu Dec 12 2019 14:16:13 GMT-0500 (Colombia Standard Time),35
q2pDHSXaDI,,PPL,CO,3666075,,victoria,4723,Thu Dec 12 2019 14:16:08 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.31648,""longitude"":-74.91101}",Colombia,Thu Dec 12 2019 14:16:08 GMT-0500 (Colombia Standard Time),37
q5dq8vbhjq,,PPL,CO,3666163,,ventaquemada,1680,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.36753,""longitude"":-73.52075}",Colombia,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),36
q71d8GmXAW,,PPL,CO,3673424,,pacho,16698,Thu Dec 12 2019 14:16:16 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.13278,""longitude"":-74.15977}",Colombia,Thu Dec 12 2019 14:16:16 GMT-0500 (Colombia Standard Time),33
q80pftbtXr,,PPL,CO,3687677,,canasgordas,6026,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.74989,""longitude"":-76.02539}",Colombia,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),2
qCXp2I20Q6,,PPL,CO,3687426,,caramanta,3044,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.54782,""longitude"":-75.64368}",Colombia,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),2
qMcKZRX9T3,,PPL,CO,3686907,,cerrito,2435,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.84315,""longitude"":-72.69404}",Colombia,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),26
qSJm4tnABA,2.0,PPL,CO,9031040,,barrio san luis,2000,Thu Dec 12 2019 14:17:22 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.66779,""longitude"":-74.0215}",Colombia,Thu Dec 12 2019 14:17:22 GMT-0500 (Colombia Standard Time),34
qSgvq35XZ4,,PPL,CO,3672327,,pie de pato,3242,Thu Dec 12 2019 14:16:15 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.51604,""longitude"":-76.97449}",Colombia,Thu Dec 12 2019 14:16:15 GMT-0500 (Colombia Standard Time),11
qU4BcEZsEa,,PPL,CO,3668937,,santa ana,13950,Thu Dec 12 2019 14:16:12 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":9.32125,""longitude"":-74.56848}",Colombia,Thu Dec 12 2019 14:16:12 GMT-0500 (Colombia Standard Time),38
qX7CQjeAdd,,PPL,CO,3666481,,une,3208,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.40306,""longitude"":-74.02528}",Colombia,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),33
qi89yAFG57,,PPL,CO,3682682,,el zulia,13521,Thu Dec 12 2019 14:17:15 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":7.93248,""longitude"":-72.60125}",Colombia,Thu Dec 12 2019 14:17:15 GMT-0500 (Colombia Standard Time),21
qnkhN7ssHZ,,PPL,CO,3676884,,la uvita,1708,Thu Dec 12 2019 14:16:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.32064,""longitude"":-72.56281}",Colombia,Thu Dec 12 2019 14:16:18 GMT-0500 (Colombia Standard Time),36
